Id,Label,TradeCluster,PlayerCluster,Out,In,Bal
ATL,ATL,3,0,284.6,191.4,-93.2
BOS,BOS,1,1,169.8,337.3,167.5
BRK,BRK,0,3,139.2,213.2,74.0
CHI,CHI,2,0,357.7,270.1,-87.6
CHO,CHO,1,4,169.4,124.4,-45.0
CLE,CLE,0,4,89.4,193.1,103.7
DAL,DAL,3,4,170.4,260.9,90.5
DEN,DEN,2,0,180.2,295.3,115.1
DET,DET,0,0,197.9,280.5,82.6
GSW,GSW,2,1,176.2,75.6,-100.6
HOU,HOU,0,1,261.5,232.2,-29.3
IND,IND,2,4,141.3,232.9,91.6
LAC,LAC,1,1,128.5,172.8,44.3
LAL,LAL,1,5,186.8,200.4,13.6
MEM,MEM,1,0,298.4,330.9,32.5
MIA,MIA,1,4,164.3,190.5,26.2
MIL,MIL,0,0,192.6,143.8,-48.8
MIN,MIN,1,1,230.6,193.9,-36.7
NOP,NOP,2,4,68.2,86.7,18.5
NYK,NYK,2,1,204.1,205.7,1.6
OKC,OKC,0,2,233.7,191.3,-42.4
ORL,ORL,0,0,439.6,255.3,-184.3
PHI,PHI,2,4,112.2,125.2,13.0
PHO,PHO,2,4,454.5,284.4,-170.1
POR,POR,2,0,218.5,272.2,53.7
SAC,SAC,2,0,98.7,178.0,79.3
SAS,SAS,2,1,155.3,97.3,-58.0
TOR,TOR,0,0,375.8,145.2,-230.6
UTA,UTA,2,4,31.2,123.8,92.6
WAS,WAS,3,4,138.5,164.8,26.3